,Name,Latitude,Longitude,Address,fsa
31,Station Plamondon,45.494644,-73.63826,"6276, Avenue Victoria, Savane, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3W 1H8, Canada", H3W 1H8
32,Station CÃ´te-Sainte-Catherine,45.492356,-73.6331,"4735, Chemin de la Côte-Sainte-Catherine, Snowdon, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1E3, Canada", H3T 1E3
33,Station Snowdon 2,45.485433,-73.62773,"5103, Chemin Queen Mary, Snowdon, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3W 1X4, Canada", H3W 1X4
34,Station Villa-Maria,45.479709,-73.619821,"4243, Boulevard Décarie, Côte-Saint-Antoine, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4A 1C6, Canada", H4A 1C6
35,Station VendÃ´me,45.474101,-73.603706,"Vendôme, Boulevard De Maisonneuve Ouest, Upper Lachine, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4A 3J1, Canada", H4A 3J1
36,Station Place-Saint-Henri,45.47732,-73.586629,"4095, Rue Saint-Jacques, Saint-Henri, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4C 2S1, Canada", H4C 2S1
37,Station Georges-Vanier,45.488897,-73.576852,"2060, Rue Saint-Antoine Ouest, Petite-Bourgogne, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3J 1B9, Canada", H3J 1B9
38,Station Lucien-L'Allier,45.494745,-73.571074,"957, Rue Lucien-L'Allier, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4G 1T4, Canada", H4G 1T4
39,Station Bonaventure,45.498086,-73.567235,"1, , René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3B 4C9, Canada", H3B 4C9
40,Station Square-Victoriaâ€“OACI,45.501937,-73.563118,"499, Avenue Viger Ouest, Quartier international, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Z 1R1, Canada", H2Z 1R1
41,Station Place-d'Armes,45.506348,-73.559548,"954, Rue Saint-Urbain, Quartier international, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Z 1A1, Canada", H2Z 1A1
42,Station Champ-de-Mars,45.510047,-73.556596,"954, Rue Sanguinet, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2X 3E4, Canada", H2X 3E4
43,Station Sherbrooke,45.51906,-73.569217,"503, Rue Cherrier, Parc-Lafontaine, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2L 1H4, Canada", H2L 1H4
