OBJECTID;DT_MAJ_GDUNO;COMBINE_NUO_NUI;CD_ORGNS;NOM_COURT_ORGNS;NOM_OFFCL_ORGNS;ADRS_GEO_L1_GDUNO_ORGNS;ADRS_GEO_L2_GDUNO_ORGNS;CD_POSTL_GDUNO_ORGNS;CD_MUNCP_GDUNO_ORGNS;NOM_MUNCP_GDUNO_ORGNS;CD_IMM;NOM_IMM;ADRS_GEO_L1_GDUNO_IMM;ADRS_GEO_L2_GDUNO_IMM;CD_MUNCP_GDUNO_IMM;NOM_MUNCP_GDUNO_IMM;CD_POSTL_GDUNO_IMM;PRESC;PRIM;SEC;FORM_PRO;ADULTE;SITE_WEB_ORGNS;COORD_X_LL84_IMM;COORD_Y_LL84_IMM;ORDRE_ENS;CD_CS;TYPE_CS;STYLE_CART
878;20200706;12295954;823301;Centre de formation des Bâtisseurs;Centre de formation des Bâtisseurs;925, route Saint-Martin;;G6E1E6;26030;Sainte-Marie;823048;Découverte, la;77, rue Langevin;;26040;Sainte-Hénédine;G0S2R0;0;0;0;0;1;https://www.cfbatisseurs.ca/;-70.986984;46.56187;Éducation aux adultes;823000;Franco;9_OrgImm_Franco_Adu
879;20200706;12262954;823048;École la Découverte;École la Découverte;77, rue Langevin;;G0S2R0;26040;Sainte-Hénédine;823048;Découverte, la;77, rue Langevin;;26040;Sainte-Hénédine;G0S2R0;1;1;0;0;0;http://www.csbe.qc.ca/ladecouverte/index.html;-70.986984;46.56187;Préscolaire - Primaire;823000;Franco;4_OrgImm_Franco_presc_prim
880;20200706;9908998;734009;École de la Ribambelle;École de la Ribambelle;500, rue Anick;;G1C4X5;23027;Québec;734009;Ribambelle, de la;500, rue Anick;;23027;Québec;G1C4X5;1;1;0;0;0;http://ribambelle.csdps.qc.ca;-71.200749;46.888999;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
881;20200706;9910999;734010;École du Sous-Bois;École du Sous-Bois;143, rue des Feux-Follets;;G1B1K8;23027;Québec;734010;Sous-Bois, du;143, rue des Feux-Follets;;23027;Québec;G1B1K8;1;1;0;0;0;;-71.196786;46.911289;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
882;20200706;94781041;714310;CEA de Kam.-Rivière-du-Loup;Centre d'éducation des adultes de Kamouraska-Rivière-du-Loup;30, rue Delage;;G5R3N8;12072;Rivière-du-Loup;714001;Étoile-Filante, l';14, rue de l'Église;;14080;Saint-Onésime-d'Ixworth;G0R3W0;0;0;0;0;1;http://www.cskamloup.qc.ca/adulte/thi/index.html;-69.981368;47.326642;Éducation aux adultes;714000;Franco;9_OrgImm_Franco_Adu
883;20200706;94691041;714015;École M.-Mont.,Orée-Bois, Étoi.F;École de la Marée-Montante, de l'Orée-des-Bois et de l'Étoile-Filante;1032, rue de la Seigneurie;;G0R4E0;17065;Saint-Roch-des-Aulnaies;714001;Étoile-Filante, l';14, rue de l'Église;;14080;Saint-Onésime-d'Ixworth;G0R3W0;1;1;0;0;0;;-69.981368;47.326642;Préscolaire - Primaire;714000;Franco;4_OrgImm_Franco_presc_prim
884;20200706;94781042;714310;CEA de Kam.-Rivière-du-Loup;Centre d'éducation des adultes de Kamouraska-Rivière-du-Loup;30, rue Delage;;G5R3N8;12072;Rivière-du-Loup;714002;Pruchière, de la;12, rue de la Pruchière;;14070;Saint-Pacôme;G0L3X0;0;0;0;0;1;http://www.cskamloup.qc.ca/adulte/thi/index.html;-69.953353;47.40922;Éducation aux adultes;714000;Franco;9_OrgImm_Franco_Adu
885;20200706;94711042;714016;École Vents-M.,Pruchière, Amitié;École des Vents-et-Marées, de la Pruchière et de l'Amitié;12, rue de la Pruchière;;G0L3X0;14070;Saint-Pacôme;714002;Pruchière, de la;12, rue de la Pruchière;;14070;Saint-Pacôme;G0L3X0;1;1;0;0;0;;-69.953353;47.40922;Préscolaire - Primaire;714000;Franco;4_OrgImm_Franco_presc_prim
886;20200706;121931081;821378;CEA de L'Islet-Sud;Centre d'éducation des adultes de L'Islet-Sud;240, rue Saint-Pierre;;G0R3X0;17010;Saint-Pamphile;821070;Saint-Marcel, de;46, rang Taché Est;;17020;Saint-Marcel;G0R3R0;0;0;0;0;1;http://www.cscotesud.qc.ca/;-70.062043;46.897815;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
887;20200706;121711081;821170;École de Saint-Marcel;École de Saint-Marcel;46, rang Taché Est;;G0R3R0;17020;Saint-Marcel;821070;Saint-Marcel, de;46, rang Taché Est;;17020;Saint-Marcel;G0R3R0;0;1;0;0;0;http://www.cscotesud.qc.ca/;-70.062043;46.897815;Primaire;821000;Franco;2_OrgImm_Franco_primaire
